💖Smj.Love.C💖,#genre#$更新于2023.03.16
四川卫视,http://iptva.cn/api/M3u8/Index?id=634&card=99982475359
吉林卫视,http://iptva.cn/api/M3u8/Index?id=635&card=99982475359
黑龙江卫视,http://iptva.cn/api/M3u8/Index?id=636&card=99982475359
云南卫视,http://iptva.cn/api/M3u8/Index?id=637&card=99982475359
辽宁卫视,http://iptva.cn/api/M3u8/Index?id=638&card=99982475359
内蒙古卫视,http://iptva.cn/api/M3u8/Index?id=639&card=99982475359
广西卫视,http://iptva.cn/api/M3u8/Index?id=640&card=99982475359
甘肃卫视,http://iptva.cn/api/M3u8/Index?id=641&card=99982475359
陕西卫视,http://iptva.cn/api/M3u8/Index?id=642&card=99982475359
山西卫视,http://iptva.cn/api/M3u8/Index?id=643&card=99982475359
宁夏卫视,http://iptva.cn/api/M3u8/Index?id=644&card=99982475359
青海卫视,http://iptva.cn/api/M3u8/Index?id=645&card=99982475359
新疆卫视,http://iptva.cn/api/M3u8/Index?id=646&card=99982475359
西藏卫视,http://iptva.cn/api/M3u8/Index?id=647&card=99982475359
BTV文艺,http://iptva.cn/api/M3u8/Index?id=958&card=99982475359
BTV科教,http://iptva.cn/api/M3u8/Index?id=960&card=99982475359
BTV影视,http://iptva.cn/api/M3u8/Index?id=962&card=99982475359
BTV财经,http://iptva.cn/api/M3u8/Index?id=964&card=99982475359
BTV体育,http://iptva.cn/api/M3u8/Index?id=966&card=99982475359
BTV生活,http://iptva.cn/api/M3u8/Index?id=968&card=99982475359
BTV青年,http://iptva.cn/api/M3u8/Index?id=970&card=99982475359
BTV新闻,http://iptva.cn/api/M3u8/Index?id=972&card=99982475359
BTV卡酷少儿,http://iptva.cn/api/M3u8/Index?id=974&card=99982475359
上海新闻频道,http://iptva.cn/api/M3u8/Index?id=976&card=99982475359
上海都市频道,http://iptva.cn/api/M3u8/Index?id=978&card=99982475359
上视外语,http://iptva.cn/api/M3u8/Index?id=980&card=99982475359
上海东方影视,http://iptva.cn/api/M3u8/Index?id=981&card=99982475359
上海五星体育,http://iptva.cn/api/M3u8/Index?id=982&card=99982475359
上海第一财经,http://iptva.cn/api/M3u8/Index?id=984&card=99982475359
哈哈炫动,http://iptva.cn/api/M3u8/Index?id=986&card=99982475359
广东综艺,http://iptva.cn/api/M3u8/Index?id=994&card=99982475359
广东新闻,http://iptva.cn/api/M3u8/Index?id=995&card=99982475359
广东影视,http://iptva.cn/api/M3u8/Index?id=996&card=99982475359
广东公共,http://iptva.cn/api/M3u8/Index?id=997&card=99982475359
广东珠江,http://iptva.cn/api/M3u8/Index?id=998&card=99982475359
广东体育,http://iptva.cn/api/M3u8/Index?id=999&card=99982475359
大湾区卫视,http://iptva.cn/api/M3u8/Index?id=1002&card=99982475359
广州,http://iptva.cn/api/M3u8/Index?id=1003&card=99982475359
南国都市,http://iptva.cn/api/M3u8/Index?id=1004&card=99982475359
广州新闻,http://iptva.cn/api/M3u8/Index?id=1005&card=99982475359
福州综合,http://iptva.cn/api/M3u8/Index?id=1006&card=99982475359
福州影视,http://iptva.cn/api/M3u8/Index?id=1007&card=99982475359
福州生活,http://iptva.cn/api/M3u8/Index?id=1008&card=99982475359
福州少儿,http://iptva.cn/api/M3u8/Index?id=1009&card=99982475359
浙江民生休闲,http://iptva.cn/api/M3u8/Index?id=1010&card=99982475359
浙江教科频道,http://iptva.cn/api/M3u8/Index?id=1011&card=99982475359
浙江少儿频道,http://iptva.cn/api/M3u8/Index?id=1012&card=99982475359
浙江新闻,http://iptva.cn/api/M3u8/Index?id=1013&card=99982475359
浙江国际频道,http://iptva.cn/api/M3u8/Index?id=1014&card=99982475359
浙江钱江都市,http://iptva.cn/api/M3u8/Index?id=1015&card=99982475359
浙江经视频道,http://iptva.cn/api/M3u8/Index?id=1016&card=99982475359
留学世界,http://iptva.cn/api/M3u8/Index?id=1017&card=99982475359
新昌新闻综合,http://iptva.cn/api/M3u8/Index?id=1018&card=99982475359
新昌生活频道,http://iptva.cn/api/M3u8/Index?id=1019&card=99982475359
温州新闻,http://iptva.cn/api/M3u8/Index?id=1020&card=99982475359
温州经济,http://iptva.cn/api/M3u8/Index?id=1022&card=99982475359
温州生活,http://iptva.cn/api/M3u8/Index?id=1023&card=99982475359
温州公共,http://iptva.cn/api/M3u8/Index?id=1024&card=99982475359
江苏城市,http://iptva.cn/api/M3u8/Index?id=1025&card=99982475359
江苏综艺,http://iptva.cn/api/M3u8/Index?id=1026&card=99982475359
江苏影视,http://iptva.cn/api/M3u8/Index?id=1027&card=99982475359
江苏公共,http://iptva.cn/api/M3u8/Index?id=1028&card=99982475359
江苏体育,http://iptva.cn/api/M3u8/Index?id=1029&card=99982475359
江苏靓装,http://iptva.cn/api/M3u8/Index?id=1030&card=99982475359
江苏国际,http://iptva.cn/api/M3u8/Index?id=1031&card=99982475359
江苏学习,http://iptva.cn/api/M3u8/Index?id=1032&card=99982475359
江苏教育,http://iptva.cn/api/M3u8/Index?id=1033&card=99982475359
优曼卡通,http://iptva.cn/api/M3u8/Index?id=1034&card=99982475359
苏州新闻综合,http://iptva.cn/api/M3u8/Index?id=1035&card=99982475359
苏州社会经济,http://iptva.cn/api/M3u8/Index?id=1036&card=99982475359
苏州文化生活,http://iptva.cn/api/M3u8/Index?id=1037&card=99982475359
苏州电影娱乐,http://iptva.cn/api/M3u8/Index?id=1038&card=99982475359
苏州生活资讯,http://iptva.cn/api/M3u8/Index?id=1039&card=99982475359
南京新闻综合,http://iptva.cn/api/M3u8/Index?id=1040&card=99982475359
南京教科,http://iptva.cn/api/M3u8/Index?id=1041&card=99982475359
南京生活,http://iptva.cn/api/M3u8/Index?id=1042&card=99982475359
南京娱乐,http://iptva.cn/api/M3u8/Index?id=1043&card=99982475359
南京十八,http://iptva.cn/api/M3u8/Index?id=1044&card=99982475359
南京信息,http://iptva.cn/api/M3u8/Index?id=1045&card=99982475359
河北都市,http://iptva.cn/api/M3u8/Index?id=1046&card=99982475359
河北经济,http://iptva.cn/api/M3u8/Index?id=1047&card=99982475359
河北影视,http://iptva.cn/api/M3u8/Index?id=1048&card=99982475359
河北少儿,http://iptva.cn/api/M3u8/Index?id=1049&card=99982475359
河北公共,http://iptva.cn/api/M3u8/Index?id=1050&card=99982475359
农民频道,http://iptva.cn/api/M3u8/Index?id=1051&card=99982475359
石家庄新闻,http://iptva.cn/api/M3u8/Index?id=1052&card=99982475359
河南新闻,http://iptva.cn/api/M3u8/Index?id=1053&card=99982475359
河南都市,http://iptva.cn/api/M3u8/Index?id=1054&card=99982475359
河南民生,http://iptva.cn/api/M3u8/Index?id=1055&card=99982475359
河南公共,http://iptva.cn/api/M3u8/Index?id=1056&card=99982475359
河南法治,http://iptva.cn/api/M3u8/Index?id=1057&card=99982475359
河南乡村,http://iptva.cn/api/M3u8/Index?id=1058&card=99982475359
河南国际,http://iptva.cn/api/M3u8/Index?id=1059&card=99982475359
河南电视剧,http://iptva.cn/api/M3u8/Index?id=1060&card=99982475359
山东齐鲁,http://iptva.cn/api/M3u8/Index?id=1061&card=99982475359
山东新闻,http://iptva.cn/api/M3u8/Index?id=1062&card=99982475359
山东体育,http://iptva.cn/api/M3u8/Index?id=1063&card=99982475359
山东少儿,http://iptva.cn/api/M3u8/Index?id=1064&card=99982475359
山东综艺,http://iptva.cn/api/M3u8/Index?id=1065&card=99982475359
山东文旅,http://iptva.cn/api/M3u8/Index?id=1066&card=99982475359
山东生活,http://iptva.cn/api/M3u8/Index?id=1067&card=99982475359
山东农科,http://iptva.cn/api/M3u8/Index?id=1068&card=99982475359
济宁综合,http://iptva.cn/api/M3u8/Index?id=1069&card=99982475359
湖北经视,http://iptva.cn/api/M3u8/Index?id=1072&card=99982475359
湖北综合,http://iptva.cn/api/M3u8/Index?id=1073&card=99982475359
湖北公共,http://iptva.cn/api/M3u8/Index?id=1074&card=99982475359
湖北生活,http://iptva.cn/api/M3u8/Index?id=1075&card=99982475359
湖北教育,http://iptva.cn/api/M3u8/Index?id=1076&card=99982475359
湖北垄上,http://iptva.cn/api/M3u8/Index?id=1077&card=99982475359
湖南公共,http://iptva.cn/api/M3u8/Index?id=1078&card=99982475359
湖南国际,http://iptva.cn/api/M3u8/Index?id=1079&card=99982475359
湖南娱乐,http://iptva.cn/api/M3u8/Index?id=1080&card=99982475359
湖南电影,http://iptva.cn/api/M3u8/Index?id=1081&card=99982475359
湖南电视剧,http://iptva.cn/api/M3u8/Index?id=1082&card=99982475359
湖南经视,http://iptva.cn/api/M3u8/Index?id=1083&card=99982475359
湖南都市,http://iptva.cn/api/M3u8/Index?id=1084&card=99982475359
湖南金鹰卡通,http://iptva.cn/api/M3u8/Index?id=1085&card=99982475359
金鹰纪实,http://iptva.cn/api/M3u8/Index?id=1086&card=99982475359
湘潭综合,http://iptva.cn/api/M3u8/Index?id=1087&card=99982475359
湘潭教育,http://iptva.cn/api/M3u8/Index?id=1088&card=99982475359
娄底综合频道,http://iptva.cn/api/M3u8/Index?id=1089&card=99982475359
茶频道,http://iptva.cn/api/M3u8/Index?id=1090&card=99982475359
淮南新闻综合,http://iptva.cn/api/M3u8/Index?id=1091&card=99982475359
淮南公共台,http://iptva.cn/api/M3u8/Index?id=1092&card=99982475359
东至综合台,http://iptva.cn/api/M3u8/Index?id=1093&card=99982475359
东至影视台,http://iptva.cn/api/M3u8/Index?id=1094&card=99982475359
四川影视,http://iptva.cn/api/M3u8/Index?id=1095&card=99982475359
四川新闻,http://iptva.cn/api/M3u8/Index?id=1096&card=99982475359
四川文旅,http://iptva.cn/api/M3u8/Index?id=1097&card=99982475359
四川儿童,http://iptva.cn/api/M3u8/Index?id=1098&card=99982475359
四川经济,http://iptva.cn/api/M3u8/Index?id=1099&card=99982475359
四川乡村,http://iptva.cn/api/M3u8/Index?id=1100&card=99982475359
洪雅新闻综合,http://iptva.cn/api/M3u8/Index?id=1101&card=99982475359
西安新闻,http://iptva.cn/api/M3u8/Index?id=1102&card=99982475359
西安都市,http://iptva.cn/api/M3u8/Index?id=1103&card=99982475359
西安影视,http://iptva.cn/api/M3u8/Index?id=1104&card=99982475359
西安丝路,http://iptva.cn/api/M3u8/Index?id=1105&card=99982475359
西乡融媒,http://iptva.cn/api/M3u8/Index?id=1106&card=99982475359
山西法治,http://iptva.cn/api/M3u8/Index?id=1107&card=99982475359
山西经济,http://iptva.cn/api/M3u8/Index?id=1108&card=99982475359
山西影视,http://iptva.cn/api/M3u8/Index?id=1109&card=99982475359
山西文体,http://iptva.cn/api/M3u8/Index?id=1110&card=99982475359
黄河电视台,http://iptva.cn/api/M3u8/Index?id=1111&card=99982475359
甘肃经济,http://iptva.cn/api/M3u8/Index?id=1112&card=99982475359
甘肃影视,http://iptva.cn/api/M3u8/Index?id=1113&card=99982475359
甘肃公共,http://iptva.cn/api/M3u8/Index?id=1114&card=99982475359
甘肃少儿,http://iptva.cn/api/M3u8/Index?id=1115&card=99982475359
甘肃都市,http://iptva.cn/api/M3u8/Index?id=1116&card=99982475359
兰州新闻综合,http://iptva.cn/api/M3u8/Index?id=10118&card=99982475359
兰州公共,http://iptva.cn/api/M3u8/Index?id=10119&card=99982475359
兰州经济生活,http://iptva.cn/api/M3u8/Index?id=10120&card=99982475359
兰州综艺体育,http://iptva.cn/api/M3u8/Index?id=10121&card=99982475359
天水综合,http://iptva.cn/api/M3u8/Index?id=1117&card=99982475359
天水公共,http://iptva.cn/api/M3u8/Index?id=1118&card=99982475359
昆明新闻综合,http://iptva.cn/api/M3u8/Index?id=1119&card=99982475359
昆明经济生活,http://iptva.cn/api/M3u8/Index?id=1120&card=99982475359
昆明科学教育,http://iptva.cn/api/M3u8/Index?id=1121&card=99982475359
昆明影视综艺,http://iptva.cn/api/M3u8/Index?id=1122&card=99982475359
昆明公共,http://iptva.cn/api/M3u8/Index?id=1123&card=99982475359
文山综合,http://iptva.cn/api/M3u8/Index?id=1124&card=99982475359
文山公共,http://iptva.cn/api/M3u8/Index?id=1125&card=99982475359
西双版纳一,http://iptva.cn/api/M3u8/Index?id=1126&card=99982475359
西双版纳二,http://iptva.cn/api/M3u8/Index?id=1127&card=99982475359
兵团卫视,http://iptva.cn/api/M3u8/Index?id=10110&card=99982475359
重庆新闻,http://iptva.cn/api/M3u8/Index?id=10111&card=99982475359
重庆科教,http://iptva.cn/api/M3u8/Index?id=10112&card=99982475359
三沙卫视,http://iptva.cn/api/M3u8/Index?id=10113&card=99982475359
重庆影视,http://iptva.cn/api/M3u8/Index?id=10114&card=99982475359
重庆文体娱乐,http://iptva.cn/api/M3u8/Index?id=10115&card=99982475359
重庆少儿,http://iptva.cn/api/M3u8/Index?id=10116&card=99982475359
重庆时尚生活,http://iptva.cn/api/M3u8/Index?id=10117&card=99982475359
南宁综合,http://iptva.cn/api/M3u8/Index?id=1135&card=99982475359
南宁都市,http://iptva.cn/api/M3u8/Index?id=1136&card=99982475359
南宁影视,http://iptva.cn/api/M3u8/Index?id=1137&card=99982475359
南宁公共,http://iptva.cn/api/M3u8/Index?id=1138&card=99982475359
宁夏公共,http://iptva.cn/api/M3u8/Index?id=1139&card=99982475359
宁夏经济,http://iptva.cn/api/M3u8/Index?id=1140&card=99982475359
宁夏文旅,http://iptva.cn/api/M3u8/Index?id=1141&card=99982475359
宁夏少儿,http://iptva.cn/api/M3u8/Index?id=1142&card=99982475359
黑龙江新闻法治,http://iptva.cn/api/M3u8/Index?id=1143&card=99982475359
黑龙江公共农业,http://iptva.cn/api/M3u8/Index?id=1144&card=99982475359
黑龙江都市频道,http://iptva.cn/api/M3u8/Index?id=1145&card=99982475359
黑龙江文体频道,http://iptva.cn/api/M3u8/Index?id=1146&card=99982475359
黑龙江影视频道,http://iptva.cn/api/M3u8/Index?id=1147&card=99982475359
黑龙江少儿频道,http://iptva.cn/api/M3u8/Index?id=1148&card=99982475359
哈尔滨新闻综合,http://iptva.cn/api/M3u8/Index?id=1149&card=99982475359
辽宁体育,http://iptva.cn/api/M3u8/Index?id=10124&card=99982475359
辽宁教育,http://iptva.cn/api/M3u8/Index?id=10125&card=99982475359
辽宁经济,http://iptva.cn/api/M3u8/Index?id=10126&card=99982475359
辽宁公共,http://iptva.cn/api/M3u8/Index?id=10127&card=99982475359
辽宁都市,http://iptva.cn/api/M3u8/Index?id=10128&card=99982475359
辽宁北方,http://iptva.cn/api/M3u8/Index?id=10129&card=99982475359
辽宁生活,http://iptva.cn/api/M3u8/Index?id=10130&card=99982475359

🇨🇳百视高清,#genre#
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.v1.mk/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.v1.mk/api/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.v1.mk/api/bestv.php?id=cctv16hd8m/8000000
CCTV16-4K,https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000
CCTV17,https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000
欢笑剧场4k,https://live.v1.mk/api/bestv.php?id=hxjc4k/15000000
江苏卫视,https://live.v1.mk/api/bestv.php?id=jswshd8m/8000000
广西卫视,https://live.v1.mk/api/bestv.php?id=gxwshd8m/8000000
四川卫视,https://live.v1.mk/api/bestv.php?id=scwshd/8000000
湖南卫视,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000
浙江卫视,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000
东方卫视,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000
北京卫视,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000
天津卫视,https://live.v1.mk/api/bestv.php?id=tjwshd8m/8000000
辽宁卫视,https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000
安徽卫视,https://live.v1.mk/api/bestv.php?id=ahwshd8m/8000000
黑龙江卫视,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000
广东卫视,https://live.v1.mk/api/bestv.php?id=gdwshd8m/8000000
深圳卫视,https://live.v1.mk/api/bestv.php?id=szwshd8m/8000000
湖北卫视,https://live.v1.mk/api/bestv.php?id=hubeiws8m/8000000
吉林卫视,https://live.v1.mk/api/bestv.php?id=jlwshd8m/8000000
山东卫视,https://live.v1.mk/api/bestv.php?id=sdws8m/8000000
江西卫视,https://live.v1.mk/api/bestv.php?id=jxws8m/8000000
河南卫视,https://live.v1.mk/api/bestv.php?id=hnwshd8m/8000000
河北卫视,https://live.v1.mk/api/bestv.php?id=hbwshd8m/8000000
甘肃卫视,https://live.v1.mk/api/bestv.php?id=gswshd8m/8000000
重庆卫视,https://live.v1.mk/api/bestv.php?id=cqws8m/8000000
东南卫视,https://live.v1.mk/api/bestv.php?id=dnwshd8m/8000000
云南卫视,https://live.v1.mk/api/bestv.php?id=ynwshd8m/8000000
贵州卫视,https://live.v1.mk/api/bestv.php?id=gzwshd8m/8000000
海南卫视,https://live.v1.mk/api/bestv.php?id=hainanwshd8m/8000000
欢笑剧场,https://live.v1.mk/api/bestv.php?id=hxjc8m/8000000
劲爆体育,https://live.v1.mk/api/bestv.php?id=jbtyhd8m/8000000
快乐垂钓,https://live.v1.mk/api/bestv.php?id=klcd8m/8000000
金鹰纪实,https://live.v1.mk/api/bestv.php?id=jyjs8m/8000000
戏曲精选,https://live.v1.mk/api/bestv.php?id=xqjx8m/8000000
上海第一财经,https://live.v1.mk/api/bestv.php?id=dycjhd8m/8000000
上视新闻,https://live.v1.mk/api/bestv.php?id=xwzhhd8m/8000000
上海都市,https://live.v1.mk/api/bestv.php?id=dshd8m/8000000
上海纪实,https://live.v1.mk/api/bestv.php?id=jspdhd/4000000
东方影视,https://live.v1.mk/api/bestv.php?id=dfyshd8m/8000000
五星体育,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000
上视外语,https://live.v1.mk/api/bestv.php?id=icshd8m/8000000
七彩戏剧,https://live.v1.mk/api/bestv.php?id=qcxjhd8m/8000000
上海教育,https://live.v1.mk/api/bestv.php?id=setvhd/8000000
全纪实,https://live.v1.mk/api/bestv.php?id=qjshd8m/8000000
生活时尚,https://live.v1.mk/api/bestv.php?id=shss8m/8000000
新视觉,https://live.v1.mk/api/bestv.php?id=xsjhd8m/8000000
游戏风云,https://live.v1.mk/api/bestv.php?id=yxfy8m/8000000
热门综艺,https://live.v1.mk/api/bestv.php?id=rmzy8m/8000000
超级体育,https://live.v1.mk/api/bestv.php?id=qcsj8m/8000000
健康养生,https://live.v1.mk/api/bestv.php?id=jkys8m/8000000
百变课堂,https://live.v1.mk/api/bestv.php?id=bbkt8m/8000000
看天下精选,https://live.v1.mk/api/bestv.php?id=ktxjx8m/8000000
华语影院,https://live.v1.mk/api/bestv.php?id=hyyy8m/8000000
电竞天堂,https://live.v1.mk/api/bestv.php?id=djtt8m/8000000
青春动漫,https://live.v1.mk/api/bestv.php?id=qcdm8m/8000000
宝宝动画,https://live.v1.mk/api/bestv.php?id=bbdh8m/8000000
星光影院,https://live.v1.mk/api/bestv.php?id=xgyy8m/8000000
谍战剧场,https://live.v1.mk/api/bestv.php?id=dzjc8m/8000000
全球大片,https://live.v1.mk/api/bestv.php?id=qqdp8m/8000000
热门剧场,https://live.v1.mk/api/bestv.php?id=rmjc8m/8000000
陶瓷高清,https://live.v1.mk/api/bestv.php?id=taocihd/8000000
中国教育-1,https://live.v1.mk/api/bestv.php?id=zgjy1t8m/8000000
中国教育-4,https://live.v1.mk/api/bestv.php?id=zgjy4hd8m/8000000
卡酷少儿,https://live.v1.mk/api/bestv.php?id=kkse8m/8000000
纪实科教,https://live.v1.mk/api/bestv.php?id=dajs8m/8000000
茶频道,https://live.v1.mk/api/bestv.php?id=cpdhdavs8m/8000000
足球高清,https://live.v1.mk/api/bestv.php?id=zqpd8m/8000000
炫动卡通,https://live.v1.mk/api/bestv.php?id=hhxd8m/8000000
东方财经,https://live.v1.mk/api/bestv.php?id=dfcjhd8m/8000000
都市剧场,https://live.v1.mk/api/bestv.php?id=dsjc8m/8000000
动漫秀场,https://live.v1.mk/api/bestv.php?id=dmxc8m/8000000
法治天地,https://live.v1.mk/api/bestv.php?id=fztd8m/8000000
金色学堂,https://live.v1.mk/api/bestv.php?id=jingsepd8m/8000000
魅力足球,https://live.v1.mk/api/bestv.php?id=mlyyhd8m/8000000


🇨🇳爱尚高清,#genre#
CCTV1,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV2,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV3,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240245_1/playlist.m3u8?CONTENTID=00000110240245_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240316_1/playlist.m3u8?CONTENTID=00000110240316_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV5,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240246_1/playlist.m3u8?CONTENTID=00000110240246_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR
